Time (s),Pack Current (A),Mode,Cell 1 Voltage (V),Cell 1 SoC (%),Cell 1 Balancing Active,Cell 2 Voltage (V),Cell 2 SoC (%),Cell 2 Balancing Active,Cell 3 Voltage (V),Cell 3 SoC (%),Cell 3 Balancing Active,Cell 4 Voltage (V),Cell 4 SoC (%),Cell 4 Balancing Active
101,1.5,CC,3.5618333333333343,16.68333333333343,0.0,3.5196768707482993,11.717687074829906,0.0,3.5990522875816993,21.650326797385617,0.0,3.5349690860215066,13.696908602150634,0.0
102,1.5,CC,3.5620000000000007,16.700000000000095,0.0,3.5198469387755105,11.734693877550995,0.0,3.5991666666666666,21.66666666666666,0.0,3.5351370967741946,13.713709677419454,0.0
103,1.5,CC,3.5621666666666676,16.716666666666764,0.0,3.5200170068027212,11.751700680272084,0.0,3.599281045751634,21.683006535947708,0.0,3.5353051075268827,13.730510752688271,0.0
104,1.5,CC,3.562333333333334,16.73333333333343,0.0,3.520187074829932,11.768707482993172,0.0,3.5993954248366014,21.699346405228752,0.0,3.535473118279571,13.74731182795709,0.0
105,1.5,CC,3.562500000000001,16.7500000000001,0.0,3.5203571428571427,11.78571428571426,0.0,3.5995098039215687,21.7156862745098,0.0,3.535641129032259,13.764112903225909,0.0
106,1.5,CC,3.5626666666666673,16.766666666666765,0.0,3.520527210884354,11.802721088435348,0.0,3.599624183006536,21.732026143790844,0.0,3.535809139784947,13.780913978494727,0.0
107,1.5,CC,3.562833333333334,16.783333333333434,0.0,3.5206972789115647,11.819727891156436,0.0,3.599738562091503,21.74836601307189,0.0,3.5359771505376356,13.797715053763545,0.0
108,1.5,CC,3.563000000000001,16.8000000000001,0.0,3.5208673469387755,11.836734693877524,0.0,3.5998529411764704,21.764705882352935,0.0,3.5361451612903236,13.814516129032365,0.0
109,1.5,CC,3.5631666666666675,16.81666666666677,0.0,3.5210374149659867,11.853741496598612,0.0,3.5999673202614377,21.781045751633982,0.0,3.536313172043012,13.831317204301182,0.0
110,1.5,CC,3.5633333333333344,16.833333333333435,0.0,3.5212074829931974,11.8707482993197,0.0,3.600081699346405,21.797385620915026,0.0,3.5364811827957,13.848118279570002,0.0
111,1.5,CC,3.563500000000001,16.850000000000104,0.0,3.521377551020408,11.887755102040789,0.0,3.6001960784313725,21.813725490196074,0.0,3.536649193548388,13.86491935483882,0.0
112,1.5,CC,3.5636666666666676,16.86666666666677,0.0,3.521547619047619,11.904761904761877,0.0,3.60031045751634,21.830065359477118,0.0,3.5368172043010766,13.881720430107638,0.0
113,1.5,CC,3.563833333333334,16.88333333333344,0.0,3.52171768707483,11.921768707482965,0.0,3.600424836601307,21.846405228758165,0.0,3.5369852150537646,13.898521505376458,0.0
114,1.5,CC,3.564000000000001,16.900000000000105,0.0,3.521887755102041,11.938775510204053,0.0,3.6005392156862746,21.86274509803921,0.0,3.5371532258064526,13.915322580645276,0.0
115,1.5,CC,3.564166666666668,16.916666666666774,0.0,3.5220578231292516,11.955782312925141,0.0,3.600653594771242,21.879084967320257,0.0,3.537321236559141,13.932123655914094,0.0
116,1.5,CC,3.5643333333333342,16.93333333333344,0.0,3.5222278911564624,11.97278911564623,0.0,3.6007679738562093,21.8954248366013,0.0,3.537489247311829,13.948924731182913,0.0
117,1.5,CC,3.564500000000001,16.95000000000011,0.0,3.5223979591836736,11.989795918367317,0.0,3.600882352941176,21.911764705882348,0.0,3.5376572580645176,13.965725806451731,0.0
118,1.5,CC,3.5646666666666675,16.96666666666678,0.0,3.5225680272108844,12.006802721088405,0.0,3.6009967320261436,21.928104575163392,0.0,3.5378252688172056,13.98252688172055,0.0
119,1.5,CC,3.5648333333333344,16.983333333333444,0.0,3.522738095238095,12.023809523809494,0.0,3.601111111111111,21.94444444444444,0.0,3.5379932795698936,13.999327956989369,0.0
120,1.5,CC,3.565000000000001,17.000000000000114,0.0,3.5229081632653063,12.040816326530582,0.0,3.6012254901960783,21.960784313725483,0.0,3.538161290322582,14.016129032258187,0.0
121,1.5,CC,3.5651666666666677,17.01666666666678,0.0,3.523078231292517,12.05782312925167,0.0,3.6013398692810457,21.97712418300653,0.0,3.53832930107527,14.032930107527006,0.0
122,1.5,CC,3.565333333333334,17.03333333333345,0.0,3.523248299319728,12.074829931972758,0.0,3.601454248366013,21.993464052287575,0.0,3.538497311827958,14.049731182795824,0.0
